Source,Batch,Frame,Layer,LayerName,NumDims,Dimensions,RawTensorData
Source_1,Batch_1,Frame_0,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000005 0.000008 0.000009 0.000008 0.000005 0.000006 0.000008 0.000021 0.000039 0.000087 0.000053 0.000062 0.000024 0.000015 0.000006 0.000024 0.000021 0.000011 0.000019 0.000014 0.000018 0.000015 0.000005 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000010 0.000009 0.000006 0.000010 0.000005 0.000010 0.000003 0.000026 0.000034 0.000028 0.000030 0.000012 0.000015 0.000004 0.000008 0.000001 0.000005 0.000008 0.000011...[truncated_8160_elements]
Source_1,Batch_1,Frame_0,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614021 0.394050 0.691631 0.796956 0.815977 0.794627 0.507300 0.584607 0.593006 0.633733 0.829674 1.098827 1.236346 1.233521 1.119038 0.949398 0.908111 0.932666 0.794024 0.566756 0.558757 0.535111 0.500089 0.370380 0.113349 -0.340975 -0.312796 -0.072575 0.060920 0.131763 -0.085062 0.265706 0.373931 0.362267 0.674255 0.842734 0.803703 0.935709 1.278137 1.783771 1.813879 1.182986 0.575201 0.795407 0.859312 0.743221 0.595432 0.596019 0.608887 0.760724 0.578946 0.500376 0.526008 0.538831 0.528507 0.575085 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144022 1.173329 1.153467 1.208787 1.247200 1.336354 1.595337 1.791477 1.953525 1.753486 1.728713 1.363379 0.953777 0.607651 0.469072 0.254781 0.275626 0.373472 0.467860 0.875388 -0.017435 0.255429 -0.101381 -0.225831 0.190011 -0.082766 0.208169 0.323846 0.365258 0.477270 0.605619 0.763993 0.864973 1.139755 1.409819...[truncated_32640_elements]
Source_0,Batch_2,Frame_0,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000010 0.000007 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000003 0.000010 0.000028 0.000007 0.000004 0.000001 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000002 0.000041 0.001947 0.002043 0.006186 0.000206 0.000006 0.000002 0.000001 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000001 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000006 0.000009 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000001...[truncated_8160_elements]
Source_0,Batch_2,Frame_0,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.337074 0.421702 0.904240 1.358189 1.441199 1.363358 1.344085 1.328564 1.188415 0.938191 0.937643 1.091034 1.419318 1.307683 1.752263 1.557085 1.383450 1.090148 0.686514 0.641791 0.796775 0.851389 0.824161 0.756875 0.633340 0.337629 0.248802 0.188122 0.180517 0.327345 0.407882 0.454110 0.428664 0.391066 0.377710 0.462241 0.480853 0.525800 0.567165 0.595901 0.338757 0.085842 -0.412508 -0.274522 0.167591 0.633737 1.170775 1.169291 0.960804 0.887049 0.702661 0.703996 0.699698 0.672462 0.684133 0.656638 0.592197 0.193291 0.173673 0.132027 0.031759 0.396173 0.874163 1.343364 1.765359 2.111099 2.584108 2.305221 1.813704 1.764468 2.518906 2.113239 2.321885 1.796529 2.568165 2.691839 2.902464 2.391807 1.791725 1.546633 1.695801 1.943496 1.957108 2.131949 1.672785 0.853005 0.449693 0.257997 0.409468 0.568630 0.661340 0.653542 0.571566 0.470692 0.493664 0.584303 0.647888 0.692546 0.830083 1.018850...[truncated_32640_elements]
Source_1,Batch_2,Frame_1,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000006 0.000009 0.000009 0.000008 0.000005 0.000006 0.000009 0.000020 0.000036 0.000060 0.000040 0.000046 0.000018 0.000013 0.000006 0.000025 0.000023 0.000012 0.000021 0.000015 0.000019 0.000015 0.000005 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000011 0.000008 0.000007 0.000010 0.000006 0.000011 0.000004 0.000024 0.000031 0.000025 0.000029 0.000012 0.000014 0.000005 0.000010 0.000001 0.000006 0.000009 0.000011...[truncated_8160_elements]
Source_1,Batch_2,Frame_1,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614021 0.394050 0.691631 0.796956 0.815977 0.794627 0.507300 0.584322 0.591831 0.633093 0.824642 1.089851 1.229314 1.225092 1.086375 0.917390 0.861988 0.904968 0.771778 0.548575 0.543876 0.541909 0.598684 0.458234 0.318458 -0.296002 -0.307896 -0.035824 0.017602 0.139469 -0.085092 0.262238 0.386709 0.367848 0.663236 0.826743 0.831590 0.956103 1.305418 1.800028 1.819445 1.193552 0.576465 0.791924 0.860834 0.749105 0.604724 0.605667 0.614893 0.770331 0.578852 0.496556 0.524746 0.538736 0.528527 0.575108 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144025 1.173255 1.152284 1.206569 1.245294 1.334854 1.593823 1.785937 1.937734 1.733719 1.695580 1.336960 0.923597 0.580451 0.431655 0.171360 0.183886 0.357181 0.525142 0.931435 0.164546 0.250708 -0.101031 -0.225503 0.186315 -0.084412 0.208682 0.304202 0.341530 0.420798 0.593050 0.785157 0.883818 1.166945 1.423179...[truncated_32640_elements]
Source_0,Batch_3,Frame_1,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000010 0.000007 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000003 0.000010 0.000028 0.000007 0.000004 0.000001 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000002 0.000040 0.001930 0.002025 0.006122 0.000205 0.000006 0.000002 0.000001 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000001 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000006 0.000009 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000001...[truncated_8160_elements]
Source_0,Batch_3,Frame_1,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.330230 0.422258 0.904700 1.362958 1.434981 1.356722 1.351463 1.332518 1.186334 0.934850 0.934676 1.088326 1.420140 1.309484 1.758563 1.582854 1.395896 1.095302 0.688015 0.636976 0.800899 0.860078 0.836799 0.765017 0.644258 0.345952 0.246927 0.187995 0.180394 0.326865 0.407879 0.454957 0.428680 0.390755 0.377304 0.461855 0.480809 0.525476 0.567693 0.596896 0.338737 0.086542 -0.412360 -0.274561 0.167610 0.633710 1.170852 1.173062 0.962382 0.888380 0.703425 0.704025 0.699402 0.672072 0.683861 0.656561 0.591943 0.194263 0.174231 0.130985 0.032631 0.396493 0.874181 1.342522 1.761665 2.106260 2.588085 2.309816 1.810849 1.760000 2.521425 2.110370 2.326159 1.804191 2.574177 2.704661 2.909476 2.399800 1.809366 1.541144 1.696112 1.943335 1.975758 2.169975 1.704026 0.864526 0.454636 0.257360 0.409180 0.568787 0.662278 0.653076 0.570804 0.470506 0.492071 0.583039 0.647437 0.692637 0.830991 1.018814...[truncated_32640_elements]
Source_1,Batch_3,Frame_2,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000007 0.000010 0.000008 0.000007 0.000004 0.000005 0.000008 0.000019 0.000028 0.000049 0.000028 0.000036 0.000020 0.000013 0.000005 0.000024 0.000024 0.000013 0.000021 0.000015 0.000019 0.000015 0.000005 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000007 0.000009 0.000007 0.000006 0.000008 0.000004 0.000008 0.000003 0.000019 0.000019 0.000017 0.000021 0.000012 0.000013 0.000005 0.000009 0.000001 0.000006 0.000009 0.000012...[truncated_8160_elements]
Source_1,Batch_3,Frame_2,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614021 0.394050 0.691631 0.796956 0.815977 0.794627 0.507300 0.584303 0.591355 0.631650 0.810247 1.072764 1.206486 1.203985 1.065296 0.917633 0.856442 0.906977 0.771860 0.556089 0.563227 0.599029 0.725864 0.510885 0.240437 -0.311702 -0.353026 -0.043313 0.101395 0.141313 -0.086578 0.256295 0.426016 0.395866 0.665746 0.810998 0.700493 0.915208 1.281800 1.797785 1.821605 1.187213 0.573984 0.797500 0.865556 0.759465 0.616865 0.612011 0.615238 0.764760 0.578472 0.497298 0.525001 0.538705 0.528507 0.575093 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144023 1.173293 1.152352 1.206406 1.242136 1.328566 1.582147 1.760279 1.920993 1.725687 1.685524 1.337274 0.929211 0.594993 0.447910 0.186640 0.292271 0.419103 0.540693 0.935762 0.081408 0.262771 -0.090754 -0.224882 0.184044 -0.084882 0.220322 0.341138 0.332494 0.385408 0.586838 0.760335 0.861841 1.141156 1.417871...[truncated_32640_elements]
